times, G0G1_phase_csse, S_phase_csse, G2_phase_csse, M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00003875,0.00012354,0.00002343,0.00000000
60.00000000,0.00037522,0.00039734,0.00002647,0.00000001
90.00000000,0.00082728,0.00123097,0.00008972,0.00000012
120.00000000,0.00089657,0.00131976,0.00009435,0.00001069
150.00000000,0.00090268,0.00132605,0.00009843,0.00001491
180.00000000,0.00093978,0.00134167,0.00010714,0.00001557
210.00000000,0.00095281,0.00142503,0.00020178,0.00003328
240.00000000,0.00095330,0.00143244,0.00035775,0.00011547
270.00000000,0.00098677,0.00148095,0.00077834,0.00017565
300.00000000,0.00099898,0.00166029,0.00141886,0.00024659
330.00000000,0.00111724,0.00174099,0.00203298,0.00027083
360.00000000,0.00112885,0.00200911,0.00233334,0.00027684
390.00000000,0.00119384,0.00221402,0.00254686,0.00033711
420.00000000,0.00126155,0.00232345,0.00263464,0.00042399
450.00000000,0.00128182,0.00306767,0.00289885,0.00046655
480.00000000,0.00128266,0.00349252,0.00299030,0.00056914
510.00000000,0.00152192,0.00417585,0.00317122,0.00057686
540.00000000,0.00168244,0.00494497,0.00333728,0.00058160
570.00000000,0.00169071,0.00518690,0.00338783,0.00070972
600.00000000,0.00172523,0.00542176,0.00343527,0.00071628
630.00000000,0.00173605,0.00542862,0.00349963,0.00072075
660.00000000,0.00173624,0.00548574,0.00360147,0.00072954
690.00000000,0.00176581,0.00550307,0.00360329,0.00073642
720.00000000,0.00179262,0.00556238,0.00360637,0.00073700
750.00000000,0.00180525,0.00556779,0.00365040,0.00076623
780.00000000,0.00188692,0.00559821,0.00365180,0.00077171
810.00000000,0.00190382,0.00567531,0.00366171,0.00077402
840.00000000,0.00190454,0.00568159,0.00367276,0.00077402
870.00000000,0.00190503,0.00571724,0.00373695,0.00077583
900.00000000,0.00194446,0.00571992,0.00389867,0.00084104
930.00000000,0.00196412,0.00577969,0.00400928,0.00084376
960.00000000,0.00197601,0.00579740,0.00402259,0.00085983
990.00000000,0.00214153,0.00590105,0.00403508,0.00089848
1020.00000000,0.00214187,0.00592524,0.00405973,0.00089888
1050.00000000,0.00214208,0.00594614,0.00416375,0.00093593
1080.00000000,0.00218234,0.00594641,0.00438335,0.00099913
1110.00000000,0.00220362,0.00596805,0.00448031,0.00099947
1140.00000000,0.00229588,0.00596849,0.00450151,0.00103158
1170.00000000,0.00231973,0.00597855,0.00450715,0.00106385
1200.00000000,0.00233334,0.00599656,0.00452213,0.00120317
1230.00000000,0.00234627,0.00600809,0.00452419,0.00127414
1260.00000000,0.00237601,0.00605495,0.00453353,0.00127692
1290.00000000,0.00240700,0.00605552,0.00453798,0.00128423
1320.00000000,0.00241070,0.00607678,0.00454218,0.00128463
1350.00000000,0.00244746,0.00620521,0.00454766,0.00129321
1380.00000000,0.00252405,0.00633140,0.00456613,0.00129651
1410.00000000,0.00252514,0.00638101,0.00456783,0.00134251
1440.00000000,0.00253109,0.00638146,0.00457937,0.00134516
1470.00000000,0.00255655,0.00638153,0.00458835,0.00135047
1500.00000000,0.00256181,0.00643282,0.00460018,0.00135251
1530.00000000,0.00258398,0.00644111,0.00460188,0.00135278
1560.00000000,0.00258859,0.00645995,0.00462488,0.00135565
1590.00000000,0.00259286,0.00646760,0.00465325,0.00135589
1620.00000000,0.00265040,0.00646768,0.00472223,0.00135608
1650.00000000,0.00270012,0.00646802,0.00476861,0.00135619
1680.00000000,0.00270056,0.00646978,0.00482813,0.00138896
1710.00000000,0.00270232,0.00647201,0.00487488,0.00140510
1740.00000000,0.00270383,0.00648190,0.00490839,0.00142009
1770.00000000,0.00272629,0.00649862,0.00492259,0.00143962
1800.00000000,0.00273298,0.00658500,0.00498650,0.00144128
1830.00000000,0.00275331,0.00659540,0.00505289,0.00144145
1860.00000000,0.00278178,0.00661057,0.00509003,0.00145128
1890.00000000,0.00281882,0.00669140,0.00509103,0.00145491
1920.00000000,0.00281954,0.00669212,0.00510234,0.00148049
1950.00000000,0.00282377,0.00670747,0.00510491,0.00149250
1980.00000000,0.00282535,0.00672538,0.00513504,0.00149250
2010.00000000,0.00284085,0.00672566,0.00516753,0.00149402
2040.00000000,0.00288437,0.00672787,0.00519207,0.00150381
2070.00000000,0.00288992,0.00679041,0.00520322,0.00150870
2100.00000000,0.00295119,0.00688281,0.00520326,0.00151261
2130.00000000,0.00302399,0.00699483,0.00521121,0.00151320
2160.00000000,0.00304418,0.00708092,0.00524499,0.00151426
2190.00000000,0.00306633,0.00721575,0.00528525,0.00151457
2220.00000000,0.00311273,0.00736522,0.00532668,0.00151562
2250.00000000,0.00329278,0.00762614,0.00534272,0.00151723
2280.00000000,0.00341456,0.00786833,0.00538858,0.00152227
2310.00000000,0.00346370,0.00798966,0.00540850,0.00152248
2340.00000000,0.00352304,0.00812580,0.00544568,0.00152703
2370.00000000,0.00353028,0.00819351,0.00549263,0.00152876
2400.00000000,0.00353094,0.00819451,0.00549517,0.00152881
2430.00000000,0.00353308,0.00820337,0.00550121,0.00152970
2460.00000000,0.00356347,0.00824698,0.00551477,0.00153642
2490.00000000,0.00358743,0.00826543,0.00551583,0.00153660
2520.00000000,0.00369140,0.00832957,0.00551614,0.00154414
2550.00000000,0.00372492,0.00834647,0.00551638,0.00154554
2580.00000000,0.00379362,0.00838397,0.00551793,0.00155715
2610.00000000,0.00384134,0.00841810,0.00551800,0.00155777
2640.00000000,0.00389477,0.00843838,0.00552131,0.00155875
2670.00000000,0.00389632,0.00844264,0.00552241,0.00156224
2700.00000000,0.00389663,0.00849049,0.00553367,0.00157127
2730.00000000,0.00394271,0.00849176,0.00556490,0.00157128
2760.00000000,0.00401025,0.00849725,0.00558124,0.00157463
2790.00000000,0.00401147,0.00850081,0.00559210,0.00157473
2820.00000000,0.00404313,0.00850613,0.00559219,0.00158785
2850.00000000,0.00404947,0.00850793,0.00559319,0.00159603
2880.00000000,0.00404949,0.00852348,0.00559322,0.00161191
2910.00000000,0.00405873,0.00853330,0.00561613,0.00163573
2940.00000000,0.00407034,0.00853745,0.00564025,0.00164828
2970.00000000,0.00412243,0.00856476,0.00564926,0.00164930
3000.00000000,0.00417190,0.00861546,0.00564931,0.00164932
3030.00000000,0.00419152,0.00866151,0.00565403,0.00164935
3060.00000000,0.00420884,0.00868875,0.00565875,0.00165978
3090.00000000,0.00421023,0.00871541,0.00566384,0.00166276
3120.00000000,0.00422100,0.00876333,0.00567299,0.00166314
3150.00000000,0.00422109,0.00878660,0.00570109,0.00166318
3180.00000000,0.00423812,0.00879352,0.00571908,0.00166951
3210.00000000,0.00423814,0.00880572,0.00572091,0.00167345
3240.00000000,0.00423841,0.00881639,0.00572884,0.00167346
3270.00000000,0.00423967,0.00883168,0.00573783,0.00167350
3300.00000000,0.00423973,0.00884330,0.00575219,0.00167390
3330.00000000,0.00424070,0.00889104,0.00576299,0.00169510
3360.00000000,0.00424209,0.00891649,0.00576451,0.00170202
3390.00000000,0.00429921,0.00895567,0.00577020,0.00170320
3420.00000000,0.00430668,0.00895971,0.00577525,0.00170553
3450.00000000,0.00430964,0.00896836,0.00577931,0.00170616
3480.00000000,0.00432285,0.00897521,0.00578334,0.00171530
3510.00000000,0.00436808,0.00898909,0.00578400,0.00172983
3540.00000000,0.00442780,0.00903169,0.00578706,0.00173854
3570.00000000,0.00451673,0.00910104,0.00579682,0.00175639
3600.00000000,0.00454041,0.00912341,0.00582438,0.00178541
