,mean,sd,hdi_3%,hdi_97%,mpv
c1,-0.000227465579805,1.4892766321e-05,-0.000252593983744,-0.000198519820134,-0.00022798793591072178
c2,0.000485484569165,2.0720434308e-05,0.000452107045361,0.000531724734094,0.00047941663689346264
c3,1.5146992345e-05,1.018190941e-06,1.3229352099e-05,1.6886784516e-05,1.5012188635374918e-05
c4,-1.4226847418e-05,9.34192882e-07,-1.5740053896e-05,-1.2570476229e-05,-1.3976748485619775e-05
c5,3.285322513e-06,3.29931785e-07,2.724490588e-06,3.755135241e-06,3.667814164610943e-06
c7,0.000398857659307,3.1180251337e-05,0.00033990791699,0.000453273269462,0.0003832925210970772
c8,0.000535437621075,3.0478797481e-05,0.000471768816769,0.000590642809575,0.0005475959520235866
c9,-4.8537895863e-05,3.763616359e-06,-5.4500162117e-05,-4.2976953034e-05,-4.5668441124504475e-05
c10,5.3797300228e-05,2.503686063e-06,4.9159336284e-05,5.8297291595e-05,5.221287944269581e-05
c11,-1.4726293449e-05,7.27255564e-07,-1.5879554268e-05,-1.3550381692e-05,-1.4570247203637707e-05
Ki67_neg0,32.523712224381306,2.10692367024784,28.69757031973188,36.43397345066583,32.15611739595684
Ki67_pos0,65.96102097017176,3.898785541616386,59.64261193422405,73.03376534045417,63.140701371785745
std_deviation[0],6.3298791824453,2.282363535325968,3.40806913653412,10.314851138734756,5.308819894239424
std_deviation[1],7.76432843610439,3.294599997047926,3.328391245291515,12.903053307023033,5.223163667301266
